loja;caiu;voltou;tempo
"CENTRAL AGUIAR";"01/04/2024 09:01:12";"01/04/2024 09:01:42";0
"CENTRAL AGUIAR";"01/04/2024 09:05:12";"01/04/2024 09:05:42";0
"CENTRAL AGUIAR";"01/04/2024 09:09:13";"01/04/2024 09:09:43";0
"CENTRAL AGUIAR";"01/04/2024 09:13:12";"01/04/2024 09:13:42";0
"CENTRAL AGUIAR";"01/04/2024 09:17:13";"01/04/2024 09:17:43";0
"CENTRAL AGUIAR";"01/04/2024 09:21:13";"01/04/2024 09:21:42";0
"CENTRAL AGUIAR";"01/04/2024 09:25:13";"01/04/2024 09:25:43";0
"CENTRAL AGUIAR";"01/04/2024 09:29:13";"01/04/2024 09:29:43";0
"CENTRAL AGUIAR";"01/04/2024 09:33:13";"01/04/2024 09:33:43";0
"CENTRAL AGUIAR";"01/04/2024 09:37:13";"01/04/2024 09:37:43";0
"CENTRAL AGUIAR";"01/04/2024 09:39:43";"01/04/2024 09:40:13";1
"CENTRAL AGUIAR";"01/04/2024 09:42:13";"01/04/2024 09:42:43";0
"CENTRAL AGUIAR";"01/04/2024 09:46:13";"01/04/2024 09:46:43";0
"CENTRAL AGUIAR";"01/04/2024 09:50:13";"01/04/2024 09:50:43";0
"CENTRAL AGUIAR";"01/04/2024 09:54:13";"01/04/2024 09:54:43";0
"CENTRAL AGUIAR";"01/04/2024 09:55:43";"01/04/2024 09:56:13";1
"CENTRAL AGUIAR";"01/04/2024 09:57:13";"01/04/2024 09:57:43";0
"CENTRAL AGUIAR";"01/04/2024 09:58:14";"01/04/2024 09:58:44";0
"CENTRAL AGUIAR";"01/04/2024 10:02:13";"01/04/2024 10:02:43";0
"CENTRAL AGUIAR";"01/04/2024 10:06:14";"01/04/2024 10:06:44";0
"CENTRAL AGUIAR";"01/04/2024 10:10:14";"01/04/2024 10:10:44";0
"CENTRAL AGUIAR";"01/04/2024 10:11:44";"01/04/2024 10:12:14";1
"CENTRAL AGUIAR";"01/04/2024 10:14:14";"01/04/2024 10:14:44";0
"CENTRAL AGUIAR";"01/04/2024 10:18:14";"01/04/2024 10:18:44";0
"CENTRAL AGUIAR";"01/04/2024 10:22:14";"01/04/2024 10:22:44";0
"CENTRAL AGUIAR";"01/04/2024 10:26:14";"01/04/2024 10:26:44";0
"CENTRAL AGUIAR";"01/04/2024 10:31:14";"01/04/2024 10:31:44";0
"CENTRAL AGUIAR";"01/04/2024 10:35:14";"01/04/2024 10:35:44";0
"CENTRAL AGUIAR";"01/04/2024 10:39:14";"01/04/2024 10:39:44";0
"CENTRAL AGUIAR";"01/04/2024 10:40:45";"01/04/2024 10:41:15";1
"CENTRAL AGUIAR";"01/04/2024 10:43:15";"01/04/2024 10:43:45";0
"CENTRAL AGUIAR";"01/04/2024 10:47:15";"01/04/2024 10:47:45";0
"CENTRAL AGUIAR";"01/04/2024 10:51:15";"01/04/2024 10:51:45";0
"CENTRAL AGUIAR";"01/04/2024 10:55:15";"01/04/2024 10:55:45";0
"CENTRAL AGUIAR";"01/04/2024 10:56:45";"01/04/2024 10:57:15";1
"CENTRAL AGUIAR";"01/04/2024 10:59:15";"01/04/2024 10:59:45";0
"CENTRAL AGUIAR";"01/04/2024 11:03:15";"01/04/2024 11:03:45";0
"CENTRAL AGUIAR";"01/04/2024 11:07:15";"01/04/2024 11:07:45";0
"CENTRAL AGUIAR";"01/04/2024 11:11:16";"01/04/2024 11:11:46";0
"CENTRAL AGUIAR";"01/04/2024 11:12:45";"01/04/2024 11:13:15";1
"CENTRAL AGUIAR";"01/04/2024 11:15:15";"01/04/2024 11:15:45";0
"CENTRAL AGUIAR";"01/04/2024 11:19:15";"01/04/2024 11:19:45";0
"CENTRAL AGUIAR";"01/04/2024 11:23:15";"01/04/2024 11:23:45";0
"CENTRAL AGUIAR";"01/04/2024 11:27:15";"01/04/2024 11:27:45";0
"CENTRAL AGUIAR";"01/04/2024 11:28:16";"01/04/2024 11:28:46";0
"CENTRAL AGUIAR";"01/04/2024 11:32:15";"01/04/2024 11:32:45";0
"CENTRAL AGUIAR";"01/04/2024 11:36:16";"01/04/2024 11:36:46";0
"CENTRAL AGUIAR";"01/04/2024 11:40:16";"01/04/2024 11:40:46";0
"CENTRAL AGUIAR";"01/04/2024 11:41:46";"01/04/2024 11:42:16";1
"CENTRAL AGUIAR";"01/04/2024 11:44:16";"01/04/2024 11:44:46";0
"CENTRAL AGUIAR";"01/04/2024 11:48:16";"01/04/2024 11:48:46";0
"CENTRAL AGUIAR";"01/04/2024 11:52:16";"01/04/2024 11:52:46";0
"CENTRAL AGUIAR";"01/04/2024 11:56:16";"01/04/2024 11:56:46";0
"CENTRAL AGUIAR";"01/04/2024 11:57:46";"01/04/2024 11:58:16";1
"CENTRAL AGUIAR";"01/04/2024 12:00:16";"01/04/2024 12:00:46";0
"CENTRAL AGUIAR";"01/04/2024 12:04:16";"01/04/2024 12:04:46";0
"CENTRAL AGUIAR";"01/04/2024 12:08:16";"01/04/2024 12:08:46";0
"CENTRAL AGUIAR";"01/04/2024 12:12:17";"01/04/2024 12:12:47";0
"CENTRAL AGUIAR";"01/04/2024 12:13:46";"01/04/2024 12:14:16";1
"CENTRAL AGUIAR";"01/04/2024 12:16:17";"01/04/2024 12:16:47";0
"CENTRAL AGUIAR";"01/04/2024 12:20:16";"01/04/2024 12:20:46";0
"CENTRAL AGUIAR";"01/04/2024 12:24:16";"01/04/2024 12:24:46";0
"CENTRAL AGUIAR";"01/04/2024 12:28:17";"01/04/2024 12:28:47";0
