loja;caiu;voltou;tempo
"SUZANO";"01/04/2024 09:09:13";"01/04/2024 09:09:43";0
"SUZANO";"01/04/2024 09:17:13";"01/04/2024 09:17:43";0
"SUZANO";"01/04/2024 09:25:13";"01/04/2024 09:25:43";0
"SUZANO";"01/04/2024 09:39:43";"01/04/2024 09:40:13";1
"SUZANO";"01/04/2024 09:55:43";"01/04/2024 09:56:13";1
"SUZANO";"01/04/2024 09:58:13";"01/04/2024 09:58:44";0
"SUZANO";"01/04/2024 10:10:14";"01/04/2024 10:10:44";0
"SUZANO";"01/04/2024 10:11:44";"01/04/2024 10:12:14";1
"SUZANO";"01/04/2024 10:26:14";"01/04/2024 10:26:44";0
"SUZANO";"01/04/2024 10:40:44";"01/04/2024 10:41:14";1
"SUZANO";"01/04/2024 10:43:15";"01/04/2024 10:43:45";0
"SUZANO";"01/04/2024 10:56:45";"01/04/2024 10:57:15";1
"SUZANO";"01/04/2024 11:11:16";"01/04/2024 11:11:45";0
"SUZANO";"01/04/2024 11:28:16";"01/04/2024 11:28:46";0
"SUZANO";"01/04/2024 11:41:46";"01/04/2024 11:42:16";1
"SUZANO";"01/04/2024 11:52:16";"01/04/2024 11:52:46";0
"SUZANO";"01/04/2024 12:04:16";"01/04/2024 12:04:46";0
"SUZANO";"01/04/2024 12:08:16";"01/04/2024 12:08:46";0
"SUZANO";"01/04/2024 12:12:16";"01/04/2024 12:12:46";0
"SUZANO";"01/04/2024 12:13:46";"01/04/2024 12:14:16";1
"SUZANO";"01/04/2024 12:16:17";"01/04/2024 12:16:47";0
"SUZANO";"01/04/2024 12:28:17";"01/04/2024 12:28:47";0
"SUZANO";"01/04/2024 12:32:17";"01/04/2024 12:32:47";0
"SUZANO";"01/04/2024 12:42:47";"01/04/2024 12:43:17";1
"SUZANO";"01/04/2024 13:22:17";"01/04/2024 13:22:47";0
"SUZANO";"01/04/2024 13:30:18";"01/04/2024 13:30:48";0
"SUZANO";"01/04/2024 13:51:18";"01/04/2024 13:51:48";0
"SUZANO";"01/04/2024 13:59:19";"01/04/2024 13:59:49";0
"SUZANO";"01/04/2024 14:23:18";"01/04/2024 14:23:48";0
"SUZANO";"01/04/2024 14:31:19";"01/04/2024 14:31:49";0
"SUZANO";"01/04/2024 14:44:49";"01/04/2024 14:45:19";1
"SUZANO";"01/04/2024 15:32:20";"01/04/2024 15:32:50";0
"SUZANO";"01/04/2024 15:45:50";"01/04/2024 15:46:20";1
"SUZANO";"01/04/2024 16:02:21";"01/04/2024 16:02:50";0
"SUZANO";"01/04/2024 16:31:21";"01/04/2024 16:31:51";0
"SUZANO";"01/04/2024 16:32:51";"01/04/2024 16:33:21";1
"SUZANO";"01/04/2024 16:47:21";"01/04/2024 16:47:51";0
"SUZANO";"01/04/2024 17:03:21";"01/04/2024 17:03:51";0
"SUZANO";"01/04/2024 17:17:22";"01/04/2024 17:17:52";0
"SUZANO";"01/04/2024 17:33:21";"01/04/2024 17:33:51";0
"SUZANO";"01/04/2024 17:49:22";"01/04/2024 17:49:52";0
"SUZANO";"01/04/2024 17:57:22";"01/04/2024 17:57:52";0
"SUZANO";"02/04/2024 09:03:46";"02/04/2024 09:04:17";1
"SUZANO";"02/04/2024 09:05:17";"02/04/2024 09:05:47";0
"SUZANO";"02/04/2024 09:06:46";"02/04/2024 09:07:17";1
"SUZANO";"02/04/2024 09:07:46";"02/04/2024 09:08:17";1
